restaurant_id;sesiones
47268;3
47267;11
47266;39
47265;0
47264;2
47263;63
47262;1
47261;11
47260;3
47259;4
47258;1
47257;1
47256;2
47255;5
47254;3
47253;0
47252;15
47251;25
47250;0
47249;1
47248;1
47247;18
47246;4
47245;1
47244;8
47243;0
47242;1
47241;1
47240;0
47239;1
47238;10
47237;14
47236;25
47235;11
47234;1
47233;12
47232;0
47231;21
47230;0
47229;5
47228;10
47227;0
47226;0
47225;1
47224;0
47223;3
47222;0
47221;5
47220;0
47219;3
47218;0
47217;4
47216;5
47215;0
47214;7
47213;72
47212;15
47211;3
47210;1
47209;1
47208;0
47207;0
47206;0
47205;0
47204;12
47203;3
47202;0
47201;3
47200;14
47199;0
47198;2
47197;4
47196;14
47195;0
47194;1
47193;8
47192;13
47191;0
47190;13
47189;3
47188;17
47187;0
47186;0
47185;1
47184;32
47183;19
47182;33
47181;0
47180;1
47179;1
47178;0
47177;0
47176;0
47175;0
47174;0
47173;6
47172;1
47171;0
47170;5
47169;4
47168;7
47167;3
47166;4
47165;0
47164;4
47163;13
47162;2
47161;1
47160;0
47159;3
47158;292
47157;0
47156;4
47155;4
47154;0
47153;18
47152;1
47151;1
47150;0
47149;1
47148;0
47147;42
47146;21
47145;4
47144;1
47143;1
47142;1
47141;1
47140;6
47139;8
47138;351
47137;0
47136;2
47135;22
47134;1
47133;3
47132;0
47131;0
47130;0
47129;6
47128;0
47127;0
47126;4
47125;0
47124;0
47123;1
47122;31
47121;0
47120;3
47119;0
47118;1
47117;4
47116;12
47115;1
47114;0
47113;0
47112;4
47111;8
47110;9
47109;11
47108;3
47107;17
47106;6
47105;12
47104;5
47103;1
47102;5
47101;0
47100;0
47099;2
47098;3
47097;4
47096;1
47095;21
47094;16
47093;2
47092;1
47091;70
47090;4
47089;7
47088;8
47087;4
47086;0
47085;0
47084;6
47083;0
47082;0
47081;10
47080;3
47079;7
47078;0
47077;8
47076;9
47075;4
47074;0
47073;4
47072;0
47071;0
47070;12
47069;1
47068;5
47067;3
47066;2
47065;1
47064;4
47063;0
47062;0
47061;0
47060;0
47059;4
47058;9
47057;123
47056;0
47055;1
47054;0
47053;14
47052;2
47051;0
47050;14
47049;1
47048;25
47047;0
47046;0
47045;43
47044;0
47043;0
47042;4
47041;2
47040;0
47039;0
47038;0
47037;1
47036;15
47035;12
47034;4
47033;0
47032;0
47031;3
47030;2
47029;9
47028;7
47027;1
47026;23
47025;0
47024;3
47023;24
47022;2
47021;0
47020;34
47019;1
47018;2
47017;1
47016;0
47015;0
47014;74
47013;1
47012;0
47011;0
47010;4
47009;0
47008;6
47007;3
47006;9
47005;0
47004;2
47003;4
47002;6
47001;1
47000;4
46999;4
46998;6
46997;1
46996;21
46995;3
46994;4
46993;1
46992;4
46991;0
46990;1
46989;1
46988;15
46987;0
46986;1
46985;6
46984;4
46983;16
46982;0
46981;3
46980;0
46979;38
46978;0
46977;1
46976;3
46975;0
46974;0
46973;4
46972;5
46971;18
46970;12
46969;10
46968;1
46967;252
46966;1
46965;4
46964;14
46963;4
46962;0
46961;20
46960;3
46959;0
46958;0
46957;1
46956;135
46955;14
46954;10
46953;0
46952;0
46951;0
46950;5
46949;26
46948;2
46947;1
46946;37
46945;1
46944;1
46943;4
46942;76
46941;7
46940;149
46939;0
46938;0
46937;0
46936;0
46935;0
46934;3
46933;0
